network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
lucknow_lcs,S0_baseline,15,4.32255682416587,0.9780821917808219,365,4195012168
lucknow_lcs,S0_baseline,20,3.5962129308469546,0.9780821917808219,365,4195012168
lucknow_lcs,S0_baseline,30,2.5962805342253095,0.9863013698630136,365,4195012168
lucknow_lcs,S0_baseline,40,1.9861239569850442,1.0,364,4195012168
lucknow_lcs,S0_baseline,50,1.459106875029026,1.0,303,4195012168
lucknow_lcs,S1_daily_18h,1,17.797656726511924,0.15342465753424658,365,976964077
lucknow_lcs,S1_daily_18h,2,12.562103603838,0.6438356164383562,365,976964077
lucknow_lcs,S1_daily_18h,3,10.329211117368637,0.8575342465753425,365,976964077
lucknow_lcs,S1_daily_18h,5,7.9745427008899625,0.9808219178082191,365,976964077
lucknow_lcs,S1_daily_18h,7,6.663050363924304,0.9945205479452055,365,976964077
lucknow_lcs,S1_daily_18h,10,5.509241108811033,0.9972602739726028,365,976964077
lucknow_lcs,S1_daily_18h,15,4.349663258843826,0.9972602739726028,365,976964077
lucknow_lcs,S1_daily_18h,20,3.5300978605361903,0.9972602739726028,365,976964077
lucknow_lcs,S1_daily_18h,30,2.6951342538929044,1.0,365,976964077
lucknow_lcs,S1_daily_18h,40,1.9817288579229722,1.0,346,976964077
lucknow_lcs,S1_daily_18h,50,1.4503402496501696,1.0,212,976964077
lucknow_lcs,S2_daily_12h,1,17.797656726511924,0.13972602739726028,365,3047549679
lucknow_lcs,S2_daily_12h,2,12.564153141692561,0.6,365,3047549679
lucknow_lcs,S2_daily_12h,3,10.311115723373753,0.8465753424657534,365,3047549679
lucknow_lcs,S2_daily_12h,5,8.145832817360766,0.9726027397260274,365,3047549679
lucknow_lcs,S2_daily_12h,7,6.78387303540312,0.9917808219178083,365,3047549679
lucknow_lcs,S2_daily_12h,10,5.5287991860411045,0.9917808219178083,365,3047549679
lucknow_lcs,S2_daily_12h,15,4.398513616004238,0.9917808219178083,365,3047549679
lucknow_lcs,S2_daily_12h,20,3.690162377078588,0.9917808219178083,365,3047549679
lucknow_lcs,S2_daily_12h,30,2.6013774412717745,0.9945205479452055,365,3047549679
lucknow_lcs,S2_daily_12h,40,1.9494039994506704,1.0,359,3047549679
