target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-04-26,0.160362762126125,0.026155378151260324,0.07409663865546046,0.22825780312124877,0.317253601440578,0.1667587680391311,0.11041295718045073,50,1.4975442306846616,0.2442514404995677,2.9626659843112613
50,kmeans_stratified,k-means stratified,2026-04-27,0.09684931846344291,0.003110620874742498,0.04467436278968684,0.15520850466580516,0.29188849924214083,0.11125136091386612,0.09039917140572673,50,0.888144198689085,0.028525548016804347,2.676725880769353
50,kmeans_stratified,k-means stratified,2026-04-28,0.04272081784386739,0.006911069911235268,0.019089124581456174,0.06980042194842073,0.11518682668234603,0.05033002177430349,0.03552113763871174,50,0.9509619760850947,0.1538398614855631,2.5640495161199133
50,kmeans_stratified,k-means stratified,2026-04-29,0.11004858584460298,0.017100978681435654,0.05597070735278087,0.1550914194674149,0.25620003461421725,0.11475283460531224,0.07487890419632258,50,1.6463802628483988,0.2558389420493191,3.832876879722394
50,kmeans_stratified,k-means stratified,2026-04-30,0.12521276595744713,0.016128596559440656,0.06264039305313185,0.18806887565434893,0.2989062112763334,0.13241988524315826,0.08913226562370494,50,1.473793938179726,0.1898386930349275,3.518220837107289
50,kmeans_stratified,k-means stratified,2026-05-01,0.12461096938775418,0.005842356386998882,0.04908796296296303,0.17770820105820118,0.27733050925926034,0.12205559067882488,0.08435629592051419,50,1.7776829985096732,0.08334625491985743,3.9563590083640374
50,kmeans_stratified,k-means stratified,2026-05-02,0.0998170212765972,0.015035336356767993,0.05080796887312755,0.13169985355253067,0.22413537431048092,0.10202804917900984,0.07084469903889042,50,1.4115802406537248,0.2126248954472886,3.1696504419971108
50,kmeans_stratified,k-means stratified,2026-05-03,0.0738328768883969,0.008773260834825703,0.04786313633259853,0.10612434169764473,0.14469349900740827,0.07720747053517268,0.050615691649334306,50,0.9056770050835069,0.10761791944951384,1.7748946046646217
50,kmeans_stratified,k-means stratified,2026-05-04,0.059343112244897966,0.004289753401362218,0.02081428571428723,0.11444693877551204,0.1969795918367358,0.07831620675929965,0.06830166406570658,50,0.7803170577895854,0.05640701382461825,2.5901327000228247
50,kmeans_stratified,k-means stratified,2026-05-05,0.04612244897959261,0.0015519805970727332,0.020098887603367865,0.06574354089219359,0.10115848569911247,0.04630177484758056,0.03210891135877917,50,0.8676545012735088,0.029195825042488854,1.9029912201254078
50,kmeans_stratified,k-means stratified,2026-05-06,0.05300000000000038,0.0054151994844422015,0.018153249491680068,0.08095704872354759,0.1258404658671588,0.05529595774910414,0.04131662752814941,50,0.8856755256829316,0.0904926349068161,2.1029022784732088
50,kmeans_stratified,k-means stratified,2026-05-07,0.07381377551020529,0.016011454489542266,0.03547631598764833,0.1264469001073001,0.1560371217712177,0.08036530728035883,0.05228015562053121,50,0.9405637290181137,0.20402415724698386,1.9882854670954877
50,kmeans_stratified,k-means stratified,2026-05-08,0.18220795318126992,0.012767557022813937,0.06359647582437278,0.32994785414165495,0.5895201830732304,0.2268795053893907,0.19220498570826236,50,1.1899494893144764,0.08338136559811068,3.849992431947684
50,kmeans_stratified,k-means stratified,2026-05-09,0.06179161590009219,0.008135680018276404,0.017610352492854364,0.09334207470301514,0.14055543710021307,0.06282698581992346,0.04592225671752393,50,0.6774454105634979,0.08919461014105444,1.540963679396895
50,kmeans_stratified,k-means stratified,2026-05-10,0.07441025679644575,0.0019530085096782562,0.03517707597288777,0.10697341667294324,0.16146767687702385,0.07609156481652113,0.05187770745264044,50,1.213958111855133,0.031862146764681895,2.634247005536868
